id,geokret,lat,lon,elevation,country,distance,waypoint,author,comment,pictures_count,comments_count,username,app,app_ver,created_on_datetime,moved_on_datetime,updated_on_datetime,move_type,position,comment_hidden
6117095,46657,43.69365,6.86097,746,fr,0,GC5BRQK,26422,tgsdfsdfsfd,0,0,NULL,www,v2.57.11-2-ga9fde4ad,2025-08-29 16:38:50+00,2025-08-25 20:36:00+00,2026-02-19 13:33:03+00,3,0101000020E61000003659A31EA2711B40696FF085C9D84540,False
6117094,46657,43.69365,6.86097,746,fr,0,GC5BRQK,26422,tgsdfsdfsfd,0,0,NULL,www,v2.57.11-2-ga9fde4ad,2025-08-29 16:38:29+00,2025-08-25 18:36:00+00,2026-02-19 13:33:03+00,3,0101000020E61000003659A31EA2711B40696FF085C9D84540,False
6117093,46657,43.69365,6.86097,746,fr,0,GC5BRQK,26422,tgsdfsdfsfd,0,0,NULL,www,v2.57.11-2-ga9fde4ad,2025-08-29 16:38:00+00,2025-08-26 18:37:00+00,2026-02-19 13:33:03+00,3,0101000020E61000003659A31EA2711B40696FF085C9D84540,False
6117092,46657,43.69365,6.86097,746,fr,0,GC5BRQK,26422,tgsdfsdfsfd,0,0,NULL,www,v2.57.11-2-ga9fde4ad,2025-08-29 16:36:38+00,2025-08-29 16:36:23+00,2026-02-19 13:33:03+00,3,0101000020E61000003659A31EA2711B40696FF085C9D84540,False
6117091,66148,43.69365,6.86097,746,fr,0,GC5BRQK,26422,asdasd,0,1,NULL,www,v2.57.11-2-ga9fde4ad,2025-08-29 16:35:53+00,2025-08-29 16:34:26+00,2026-01-17 13:09:05+00,5,0101000020E61000003659A31EA2711B40696FF085C9D84540,False
6117090,66148,43.69365,6.86097,746,fr,0,GC5BRQK,26422,foobar,0,0,NULL,www,v2.57.11-2-ga9fde4ad,2025-08-29 16:34:25+00,2025-08-29 16:33:48+00,2026-01-17 13:09:05+00,5,0101000020E61000003659A31EA2711B40696FF085C9D84540,False
6117089,66148,43.69365,6.86097,746,fr,0,GC5BRQK,26422,saved comment2,0,0,NULL,www,v2.56.3-6-gca0668ac,2025-08-29 16:33:39+00,2025-07-14 18:05:00+00,2026-01-17 13:09:05+00,5,0101000020E61000003659A31EA2711B40696FF085C9D84540,False
6117082,102323,NULL,NULL,NULL,NULL,NULL,NULL,26422,,0,0,NULL,www,v2.56.3-6-gca0668ac,2025-04-29 08:34:48+00,2025-04-29 00:09:00+00,2025-04-29 08:40:37+00,1,NULL,False
6117075,46657,NULL,NULL,NULL,NULL,NULL,NULL,26422,,0,0,NULL,www,v2.56.3-6-gca0668ac,2025-04-29 06:48:31+00,2025-04-29 06:47:00+00,2025-04-29 06:48:31+00,1,NULL,False
6117074,46657,NULL,NULL,NULL,NULL,NULL,NULL,26422,test,0,0,NULL,www,v2.56.3-6-gca0668ac,2025-04-29 06:44:46+00,2025-04-29 06:44:00+00,2025-04-29 06:44:46+00,1,NULL,False
6117073,46657,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,0,0,kumy,www,v2.56.3-6-gca0668ac,2025-04-03 07:11:06+00,2025-04-03 07:10:00+00,2025-04-03 07:11:06+00,1,NULL,False
6117070,66148,43.69365,6.86097,746,FR,0,GC5BRQK,NULL,,0,0,asd,www,v2.55.1-1-g1339bbc1,2025-03-02 12:28:00+00,2025-03-02 12:28:00+00,2026-01-17 13:09:05+00,3,0101000020E61000003659A31EA2711B40696FF085C9D84540,False
6117064,66148,NULL,NULL,NULL,NULL,0,NULL,NULL,,0,0,asd,www,v2.55.1-1-g1339bbc1,2025-02-16 12:18:09+00,2025-02-16 12:17:00+00,2026-01-17 13:09:05+00,3,NULL,False
6117063,89535,NULL,NULL,NULL,NULL,NULL,NULL,18243,Zabrany przy okazji MEGA ,0,0,NULL,www,v2.55.2,2025-02-15 17:19:39+00,2024-07-09 14:18:00+00,2025-02-15 17:19:39+00,1,NULL,False
6117062,89534,NULL,NULL,NULL,NULL,NULL,NULL,18243,Zabrany przy okazji MEGA ,0,0,NULL,www,v2.55.2,2025-02-15 17:18:01+00,2024-07-09 14:16:00+00,2025-02-15 17:18:01+00,1,NULL,False
6117061,56678,49.54237,8.493,107,DE,0,GCAB4DB,31022,Wir konnten alle Zwerge finden. Außerdem noch andere Tradis in der Nähe. Den Bonus müssen wir uns für einen anderen Tag aufheben. Leider wird es zu dieser Jahreszeit noch zu früh dunkel.,0,0,NULL,c:geo,2025.01.18,2025-02-15 16:56:59+00,2025-02-15 16:54:00+00,2025-03-22 18:23:00+00,5,0101000020E610000023DBF97E6AFC20406F2A52616CC54840,False
6117060,56678,49.54207,8.49068,103,DE,0,GCAB4D9,31022,Auch diesen konnte ich schnell finden,0,0,NULL,c:geo,2025.01.18,2025-02-15 16:43:41+00,2025-02-15 16:43:00+00,2025-03-22 18:23:00+00,5,0101000020E6100000419AB1683AFB20404512BD8C62C54840,False
